Contracting (Egypt-KSA-Global),,,
,action_id,action_name,action_wait
Edit,1,Upload Contract,0.1
Edit,2,Active Contract,0
Edit,3,Upload Offer,0.05
Edit,4,Action1 comp2,0
Edit,5,Active Offer,0
Edit,6,Fill Excel Offer,0.01
Edit,7,Fill Excel Contract,0.01
Edit,8,Account Review1,0
Edit,9,End,0
Edit,11,Upload Stop Sale,0.0125
Edit,12,Active Stop Sale,0.0125
Edit,13,Review Contract,0
Edit,14,Review Offer,0
Edit,15,Scan,0.0125
Edit,25,End Process Offer,0.05
Edit,26,End Process Stop Sale,0
Edit,27,End Process Contract,0.1
Edit,29,Mapping,0
Edit,30,Positioning,0
Edit,32,Update Fake Booking,0.033
Edit,35,Done,0
Edit,36,Fill Excel Offer -,0.025
Edit,37,Fill Excel Contract -,0.0333
Edit,38,Review and Active Contract on how to work,0
Edit,39,Upload Offer -,0.05
Edit,40,Review and active Offer on how to work,0
Edit,41,Mapping and Positioning,0.00104
Edit,42,Special Action,0
Edit,43,Upload Contract-,0.1
Edit,44,Review and Active Contract on how to work-,0
Edit,45,End Process Contract-,0.1
Edit,46,End Process Offer-,0.05
Edit,47,Upload Stop Sale-,0.01
Edit,48,Active Stop Sale-,0.01
Edit,49,End Process Stop Sale-,0.0125
Edit,50,Update Fake Booking-,0.0125
Edit,51,Scan-,0.01
Edit,52,Update or Revise live contract,0.005
Edit,53,Reactive Contract & issue login for hotel,0.01
Edit,54,send Email,0.01
Edit,55,Executing contract on land page,0.01
Edit,56,Create contract for agent (Commercial),0
Edit,57,IHG Report (Chain) Semi-annual report,0
Edit,58,Hilton Report (Chain) Quarterly Report,0
Edit,59,Marriot Report (Chain)Quarterly Report,0
Edit,60,Starwood Report (Chain)Quarterly Report,0
Edit,61,Movenpick / Rotana Report (small Chain)Quarterly Report,0
Edit,62,Confirmation number Report,0
Edit,63,Lost booking Report,0
Edit,64,Canceled book Report,0
Edit,65,System internal Report,0.01
Edit,66,Any Comparison,0.01
Edit,67,Fill Credit Application,0.01
Edit,68,Design Easy (Social Media Post),0.04
Edit,69,Design Medium(Cover / Banner / Business Card),0.1
Edit,70,Design Hard (Events & Exhibitions,1
